start,problem_size,bound,optimal_cost,cost,states generated,algorithm
"(8, 5, 10, 11, 4, 6, 2, 9, 3, 1, 7, 12)",12,0,11,11,541,IDA*
"(1, 10, 9, 5, 12, 3, 11, 7, 2, 4, 8, 6)",12,0,12,12,79535,IDA*
"(2, 1, 8, 5, 10, 9, 3, 11, 4, 7, 12, 6)",12,0,10,10,1590,IDA*
"(10, 4, 1, 7, 5, 11, 8, 9, 2, 3, 12, 6)",12,0,11,11,9890,IDA*
"(10, 8, 6, 4, 1, 12, 7, 5, 11, 3, 9, 2)",12,0,12,12,6596,IDA*
"(9, 5, 3, 6, 7, 4, 12, 2, 8, 1, 11, 10)",12,0,11,11,47717,IDA*
"(2, 3, 8, 6, 11, 10, 4, 9, 12, 5, 7, 1)",12,0,11,11,13201,IDA*
"(12, 5, 10, 6, 7, 8, 2, 1, 9, 3, 4, 11)",12,0,9,9,4225,IDA*
"(8, 4, 6, 10, 1, 5, 3, 9, 12, 2, 7, 11)",12,0,12,12,5612,IDA*
"(5, 8, 10, 12, 3, 2, 11, 7, 1, 6, 4, 9)",12,0,12,12,27817,IDA*
"(3, 1, 10, 7, 12, 8, 5, 2, 4, 6, 11, 9)",12,0,13,13,52266,IDA*
"(12, 5, 6, 4, 1, 9, 2, 8, 10, 7, 3, 11)",12,0,12,12,21451,IDA*
"(7, 6, 10, 5, 9, 12, 8, 1, 3, 2, 11, 4)",12,0,11,11,4443,IDA*
"(4, 9, 3, 11, 5, 1, 8, 7, 2, 12, 10, 6)",12,0,12,12,25417,IDA*
"(6, 3, 11, 1, 12, 4, 2, 5, 9, 10, 8, 7)",12,0,11,11,10732,IDA*
"(5, 7, 6, 8, 10, 12, 9, 1, 11, 4, 3, 2)",12,0,10,10,1936,IDA*
"(6, 9, 5, 8, 11, 10, 1, 12, 3, 4, 2, 7)",12,0,11,11,3449,IDA*
"(2, 9, 1, 7, 5, 11, 4, 3, 6, 10, 12, 8)",12,0,12,12,28586,IDA*
"(8, 5, 9, 10, 3, 7, 4, 12, 2, 11, 1, 6)",12,0,11,11,8024,IDA*
"(10, 8, 11, 7, 12, 2, 1, 5, 6, 9, 3, 4)",12,0,10,10,7597,IDA*
"(10, 5, 6, 9, 1, 11, 3, 2, 12, 4, 7, 8)",12,0,10,10,3212,IDA*
"(10, 12, 8, 11, 2, 7, 3, 9, 6, 5, 4, 1)",12,0,10,10,4385,IDA*
"(8, 9, 3, 5, 2, 6, 7, 12, 11, 1, 10, 4)",12,0,10,10,3640,IDA*
"(12, 3, 6, 11, 5, 8, 1, 4, 10, 7, 9, 2)",12,0,12,12,10002,IDA*
"(9, 2, 1, 6, 7, 10, 8, 5, 4, 12, 11, 3)",12,0,9,9,7408,IDA*
"(2, 10, 12, 11, 3, 4, 5, 6, 7, 8, 1, 9)",12,0,6,6,187,IDA*
"(12, 10, 5, 11, 1, 4, 7, 2, 6, 8, 9, 3)",12,0,11,11,1412,IDA*
