start,problem_size,bound,optimal_cost,cost,states generated,algorithm
"(2, 6, 4, 3, 8, 10, 1, 7, 9, 5)",10,0,9,9,1018,IDA*
"(9, 2, 1, 10, 5, 6, 3, 8, 4, 7)",10,0,9,9,1653,IDA*
"(8, 3, 6, 4, 1, 2, 5, 10, 7, 9)",10,0,9,9,1577,IDA*
"(1, 7, 5, 10, 2, 6, 3, 8, 9, 4)",10,0,9,9,1005,IDA*
"(8, 1, 7, 10, 5, 3, 4, 2, 9, 6)",10,0,10,10,14064,IDA*
"(4, 6, 7, 10, 2, 5, 9, 3, 1, 8)",10,0,10,10,4838,IDA*
"(2, 5, 8, 10, 3, 7, 4, 9, 6, 1)",10,0,10,10,2901,IDA*
"(1, 8, 9, 3, 2, 10, 7, 4, 6, 5)",10,0,8,8,1325,IDA*
"(4, 9, 3, 1, 6, 7, 10, 8, 5, 2)",10,0,9,9,517,IDA*
"(10, 4, 8, 2, 3, 1, 5, 7, 6, 9)",10,0,9,9,2679,IDA*
"(6, 9, 10, 1, 8, 5, 4, 7, 2, 3)",10,0,9,9,7068,IDA*
"(2, 8, 6, 5, 1, 10, 7, 3, 9, 4)",10,0,9,9,1243,IDA*
"(1, 10, 9, 7, 2, 4, 6, 8, 3, 5)",10,0,10,10,7594,IDA*
"(4, 10, 7, 5, 9, 2, 3, 6, 8, 1)",10,0,10,10,10519,IDA*
"(8, 2, 1, 9, 10, 5, 7, 6, 4, 3)",10,0,6,6,271,IDA*
"(5, 3, 7, 1, 9, 6, 4, 8, 2, 10)",10,0,9,9,125,IDA*
"(3, 4, 6, 2, 9, 1, 7, 8, 10, 5)",10,0,8,8,704,IDA*
"(1, 2, 6, 5, 7, 3, 4, 8, 10, 9)",10,0,8,8,8510,IDA*
"(4, 1, 6, 9, 7, 8, 3, 2, 10, 5)",10,0,8,8,341,IDA*
"(4, 1, 6, 5, 3, 8, 9, 7, 10, 2)",10,0,9,9,1455,IDA*
"(4, 10, 7, 3, 5, 8, 6, 1, 2, 9)",10,0,9,9,1830,IDA*
"(3, 7, 4, 8, 2, 1, 6, 5, 10, 9)",10,0,9,9,24376,IDA*
"(3, 1, 10, 4, 2, 6, 5, 9, 8, 7)",10,0,8,8,2676,IDA*
"(8, 7, 5, 4, 9, 2, 1, 10, 6, 3)",10,0,7,7,333,IDA*
"(5, 6, 8, 1, 4, 2, 10, 7, 3, 9)",10,0,9,9,869,IDA*
"(4, 7, 5, 8, 6, 1, 3, 10, 2, 9)",10,0,10,10,1963,IDA*
"(4, 2, 7, 5, 10, 1, 3, 8, 9, 6)",10,0,9,9,1616,IDA*
"(10, 3, 5, 8, 2, 6, 7, 1, 4, 9)",10,0,10,10,5073,IDA*
"(5, 7, 6, 8, 4, 9, 2, 1, 10, 3)",10,0,9,9,881,IDA*
"(2, 6, 3, 4, 5, 10, 8, 1, 9, 7)",10,0,9,9,3420,IDA*
"(10, 2, 3, 7, 5, 8, 6, 4, 1, 9)",10,0,9,9,1497,IDA*
"(4, 1, 7, 6, 3, 8, 10, 2, 5, 9)",10,0,9,9,1833,IDA*
"(10, 5, 3, 2, 4, 6, 9, 1, 8, 7)",10,0,8,8,879,IDA*
"(7, 1, 4, 6, 3, 2, 9, 10, 8, 5)",10,0,8,8,825,IDA*
"(8, 9, 10, 7, 2, 4, 6, 3, 5, 1)",10,0,8,8,766,IDA*
"(9, 4, 10, 5, 2, 8, 1, 7, 6, 3)",10,0,9,9,2461,IDA*
"(3, 5, 2, 8, 9, 4, 7, 10, 1, 6)",10,0,9,9,559,IDA*
"(3, 1, 7, 10, 8, 9, 6, 5, 4, 2)",10,0,8,8,737,IDA*
"(2, 6, 9, 10, 3, 7, 1, 4, 5, 8)",10,0,8,8,917,IDA*
"(6, 2, 1, 7, 5, 10, 4, 3, 8, 9)",10,0,8,8,2548,IDA*
"(7, 8, 10, 2, 5, 6, 9, 1, 3, 4)",10,0,8,8,807,IDA*
"(3, 1, 6, 10, 5, 8, 4, 9, 2, 7)",10,0,11,11,9889,IDA*
"(1, 4, 6, 9, 3, 7, 5, 8, 2, 10)",10,0,10,10,353,IDA*
"(10, 5, 7, 1, 9, 4, 3, 2, 6, 8)",10,0,9,9,5257,IDA*
"(9, 10, 3, 8, 1, 6, 2, 4, 5, 7)",10,0,8,8,499,IDA*
"(6, 8, 7, 10, 3, 9, 2, 4, 5, 1)",10,0,10,10,12037,IDA*
"(5, 7, 10, 8, 9, 6, 2, 3, 4, 1)",10,0,9,9,4944,IDA*
"(5, 7, 10, 2, 3, 9, 8, 6, 1, 4)",10,0,9,9,3482,IDA*
"(9, 4, 8, 2, 10, 7, 5, 3, 1, 6)",10,0,10,10,1895,IDA*
"(10, 1, 4, 9, 3, 5, 6, 8, 2, 7)",10,0,9,9,1553,IDA*
"(6, 1, 5, 4, 3, 9, 7, 2, 8, 10)",10,0,7,7,108,IDA*
"(1, 4, 9, 3, 10, 5, 6, 7, 8, 2)",10,0,8,8,1462,IDA*
"(5, 3, 9, 4, 2, 6, 7, 8, 10, 1)",10,0,8,8,781,IDA*
"(7, 3, 1, 6, 9, 4, 5, 10, 8, 2)",10,0,9,9,2094,IDA*
"(8, 4, 6, 5, 3, 10, 9, 7, 2, 1)",10,0,8,8,1502,IDA*
"(7, 8, 6, 1, 5, 3, 2, 9, 4, 10)",10,0,7,7,34,IDA*
"(5, 8, 6, 7, 4, 9, 3, 10, 2, 1)",10,0,8,8,754,IDA*
"(5, 2, 7, 10, 8, 6, 1, 4, 3, 9)",10,0,9,9,1858,IDA*
"(7, 1, 4, 8, 5, 10, 2, 6, 9, 3)",10,0,11,11,14950,IDA*
"(9, 2, 5, 7, 1, 3, 6, 8, 4, 10)",10,0,9,9,165,IDA*
"(9, 3, 8, 4, 6, 2, 7, 10, 5, 1)",10,0,10,10,5493,IDA*
"(3, 7, 9, 10, 2, 4, 5, 6, 8, 1)",10,0,7,7,800,IDA*
"(2, 1, 5, 8, 4, 6, 3, 10, 9, 7)",10,0,8,8,846,IDA*
"(3, 6, 9, 4, 2, 8, 10, 5, 1, 7)",10,0,10,10,3206,IDA*
"(10, 5, 4, 2, 3, 6, 8, 7, 9, 1)",10,0,8,8,1771,IDA*
"(5, 2, 3, 1, 7, 10, 4, 8, 9, 6)",10,0,8,8,528,IDA*
"(3, 7, 8, 4, 9, 10, 1, 6, 2, 5)",10,0,9,9,2746,IDA*
"(8, 9, 3, 1, 4, 7, 5, 2, 6, 10)",10,0,9,9,149,IDA*
"(8, 3, 4, 7, 10, 9, 2, 6, 1, 5)",10,0,9,9,2892,IDA*
"(8, 1, 5, 2, 4, 9, 7, 3, 10, 6)",10,0,10,10,1137,IDA*
"(3, 10, 8, 7, 1, 5, 4, 6, 2, 9)",10,0,9,9,4227,IDA*
"(4, 1, 5, 9, 8, 6, 3, 7, 2, 10)",10,0,8,8,46,IDA*
"(2, 7, 3, 10, 1, 6, 4, 8, 9, 5)",10,0,10,10,2891,IDA*
"(8, 6, 3, 2, 5, 1, 4, 7, 9, 10)",10,0,7,7,114,IDA*
"(8, 9, 10, 5, 6, 4, 1, 3, 7, 2)",10,0,8,8,876,IDA*
"(4, 1, 5, 3, 9, 6, 10, 8, 7, 2)",10,0,9,9,652,IDA*
"(3, 8, 4, 6, 7, 2, 5, 1, 10, 9)",10,0,9,9,7731,IDA*
"(1, 5, 8, 9, 6, 7, 3, 4, 2, 10)",10,0,8,8,466,IDA*
"(3, 8, 1, 4, 9, 10, 5, 6, 2, 7)",10,0,8,8,410,IDA*
"(7, 9, 5, 6, 4, 2, 3, 8, 1, 10)",10,0,8,8,125,IDA*
"(1, 4, 2, 9, 8, 7, 3, 10, 6, 5)",10,0,8,8,750,IDA*
"(9, 3, 1, 2, 4, 7, 6, 10, 8, 5)",10,0,9,9,3896,IDA*
"(5, 2, 7, 3, 4, 9, 1, 10, 8, 6)",10,0,10,10,2564,IDA*
"(8, 6, 1, 5, 9, 10, 7, 2, 4, 3)",10,0,8,8,292,IDA*
"(9, 4, 5, 2, 6, 10, 7, 3, 1, 8)",10,0,9,9,871,IDA*
"(2, 4, 10, 3, 9, 1, 8, 5, 7, 6)",10,0,9,9,1556,IDA*
"(8, 4, 6, 10, 2, 3, 1, 7, 9, 5)",10,0,10,10,4288,IDA*
"(10, 1, 5, 9, 7, 8, 3, 4, 2, 6)",10,0,9,9,4369,IDA*
"(9, 6, 5, 2, 8, 3, 1, 4, 10, 7)",10,0,9,9,654,IDA*
"(5, 3, 6, 4, 7, 9, 10, 2, 1, 8)",10,0,8,8,194,IDA*
"(9, 10, 1, 6, 7, 2, 8, 4, 5, 3)",10,0,8,8,770,IDA*
"(8, 2, 10, 5, 3, 4, 6, 9, 7, 1)",10,0,9,9,902,IDA*
"(8, 6, 10, 4, 9, 5, 7, 3, 1, 2)",10,0,9,9,2593,IDA*
"(10, 6, 1, 8, 3, 7, 4, 2, 9, 5)",10,0,10,10,3082,IDA*
"(9, 10, 8, 7, 5, 4, 3, 2, 1, 6)",10,0,4,4,61,IDA*
"(6, 7, 10, 2, 1, 3, 8, 5, 4, 9)",10,0,8,8,2690,IDA*
"(9, 4, 1, 6, 8, 7, 5, 10, 2, 3)",10,0,9,9,1540,IDA*
"(2, 5, 7, 4, 10, 8, 6, 1, 9, 3)",10,0,11,11,16374,IDA*
"(4, 3, 1, 10, 5, 9, 8, 6, 2, 7)",10,0,8,8,1013,IDA*
"(7, 6, 10, 9, 5, 1, 2, 4, 8, 3)",10,0,8,8,794,IDA*
