start,length,bound,cost,expended,algorithm
"(4, 6, 5, 8, 3, 2, 1, 7)",8,50,50,1498,DFBnB
"(4, 6, 5, 8, 3, 2, 1, 7)",8,40,40,171,DFBnB
"(4, 6, 5, 8, 3, 2, 1, 7)",8,30,30,563,DFBnB
"(5, 3, 6, 7, 4, 8, 1, 2)",8,0,7,551,IDA*
"(5, 3, 6, 7, 4, 8, 1, 2)",8,70,70,599,DFBnB
"(5, 3, 6, 7, 4, 8, 1, 2)",8,60,60,158,DFBnB
"(5, 3, 6, 7, 4, 8, 1, 2)",8,50,50,130,DFBnB
"(5, 3, 6, 7, 4, 8, 1, 2)",8,40,40,452,DFBnB
"(5, 3, 6, 7, 4, 8, 1, 2)",8,30,30,139,DFBnB
"(1, 7, 2, 5, 3, 4, 6, 8)",8,0,6,34,IDA*
"(1, 7, 2, 5, 3, 4, 6, 8)",8,70,70,147,DFBnB
"(1, 7, 2, 5, 3, 4, 6, 8)",8,60,60,141,DFBnB
"(1, 7, 2, 5, 3, 4, 6, 8)",8,50,50,70,DFBnB
"(1, 7, 2, 5, 3, 4, 6, 8)",8,40,40,169,DFBnB
"(1, 7, 2, 5, 3, 4, 6, 8)",8,30,30,98,DFBnB
"(8, 6, 1, 5, 4, 3, 2, 7)",8,0,5,183,IDA*
"(8, 6, 1, 5, 4, 3, 2, 7)",8,70,70,947,DFBnB
"(8, 6, 1, 5, 4, 3, 2, 7)",8,60,60,343,DFBnB
"(8, 6, 1, 5, 4, 3, 2, 7)",8,50,50,537,DFBnB
"(8, 6, 1, 5, 4, 3, 2, 7)",8,40,40,180,DFBnB
"(8, 6, 1, 5, 4, 3, 2, 7)",8,30,30,248,DFBnB
"(8, 3, 4, 7, 5, 2, 6, 1)",8,0,7,782,IDA*
"(8, 3, 4, 7, 5, 2, 6, 1)",8,70,70,115,DFBnB
"(8, 3, 4, 7, 5, 2, 6, 1)",8,60,60,249,DFBnB
"(8, 3, 4, 7, 5, 2, 6, 1)",8,50,50,165,DFBnB
"(8, 3, 4, 7, 5, 2, 6, 1)",8,40,40,814,DFBnB
"(8, 3, 4, 7, 5, 2, 6, 1)",8,30,30,94,DFBnB
"(3, 6, 4, 1, 5, 7, 2, 8)",8,0,7,57,IDA*
"(3, 6, 4, 1, 5, 7, 2, 8)",8,70,70,79,DFBnB
"(3, 6, 4, 1, 5, 7, 2, 8)",8,60,60,97,DFBnB
"(3, 6, 4, 1, 5, 7, 2, 8)",8,50,50,63,DFBnB
"(3, 6, 4, 1, 5, 7, 2, 8)",8,40,40,102,DFBnB
"(3, 6, 4, 1, 5, 7, 2, 8)",8,30,30,89,DFBnB
"(8, 7, 1, 6, 3, 5, 2, 4)",8,0,7,448,IDA*
"(8, 7, 1, 6, 3, 5, 2, 4)",8,70,70,695,DFBnB
"(8, 7, 1, 6, 3, 5, 2, 4)",8,60,60,1544,DFBnB
"(8, 7, 1, 6, 3, 5, 2, 4)",8,50,50,426,DFBnB
"(8, 7, 1, 6, 3, 5, 2, 4)",8,40,40,312,DFBnB
"(8, 7, 1, 6, 3, 5, 2, 4)",8,30,30,326,DFBnB
"(7, 5, 8, 3, 4, 2, 1, 6)",8,0,7,443,IDA*
"(7, 5, 8, 3, 4, 2, 1, 6)",8,70,70,172,DFBnB
"(7, 5, 8, 3, 4, 2, 1, 6)",8,60,60,211,DFBnB
"(7, 5, 8, 3, 4, 2, 1, 6)",8,50,50,399,DFBnB
"(7, 5, 8, 3, 4, 2, 1, 6)",8,40,40,76,DFBnB
