start,length,bound,cost,expended,algorithm
"(15, 6, 9, 4, 3, 1, 2, 13, 12, 5, 14, 8, 11, 10, 7)",15,70,70,62353,DFBnB
"(15, 6, 9, 4, 3, 1, 2, 13, 12, 5, 14, 8, 11, 10, 7)",15,60,60,41042,DFBnB
"(15, 6, 9, 4, 3, 1, 2, 13, 12, 5, 14, 8, 11, 10, 7)",15,50,50,13556,DFBnB
"(15, 6, 9, 4, 3, 1, 2, 13, 12, 5, 14, 8, 11, 10, 7)",15,40,40,136193,DFBnB
"(15, 6, 9, 4, 3, 1, 2, 13, 12, 5, 14, 8, 11, 10, 7)",15,30,30,121506,DFBnB
"(10, 13, 4, 5, 1, 11, 15, 14, 3, 7, 2, 12, 8, 6, 9)",15,0,14,161804,IDA*
"(10, 13, 4, 5, 1, 11, 15, 14, 3, 7, 2, 12, 8, 6, 9)",15,70,70,14905,DFBnB
"(10, 13, 4, 5, 1, 11, 15, 14, 3, 7, 2, 12, 8, 6, 9)",15,60,60,44075,DFBnB
"(10, 13, 4, 5, 1, 11, 15, 14, 3, 7, 2, 12, 8, 6, 9)",15,50,50,20213,DFBnB
"(10, 13, 4, 5, 1, 11, 15, 14, 3, 7, 2, 12, 8, 6, 9)",15,40,40,94345,DFBnB
"(10, 13, 4, 5, 1, 11, 15, 14, 3, 7, 2, 12, 8, 6, 9)",15,30,30,45897,DFBnB
"(8, 14, 15, 4, 13, 1, 11, 2, 10, 7, 3, 12, 9, 6, 5)",15,0,13,3596,IDA*
"(8, 14, 15, 4, 13, 1, 11, 2, 10, 7, 3, 12, 9, 6, 5)",15,70,70,35169,DFBnB
"(8, 14, 15, 4, 13, 1, 11, 2, 10, 7, 3, 12, 9, 6, 5)",15,60,60,5080,DFBnB
"(8, 14, 15, 4, 13, 1, 11, 2, 10, 7, 3, 12, 9, 6, 5)",15,50,50,102340,DFBnB
"(8, 14, 15, 4, 13, 1, 11, 2, 10, 7, 3, 12, 9, 6, 5)",15,40,40,253523,DFBnB
"(8, 14, 15, 4, 13, 1, 11, 2, 10, 7, 3, 12, 9, 6, 5)",15,30,30,58563,DFBnB
"(1, 2, 3, 8, 6, 13, 12, 9, 4, 10, 11, 5, 15, 14, 7)",15,0,12,34650,IDA*
"(1, 2, 3, 8, 6, 13, 12, 9, 4, 10, 11, 5, 15, 14, 7)",15,70,70,132511,DFBnB
"(1, 2, 3, 8, 6, 13, 12, 9, 4, 10, 11, 5, 15, 14, 7)",15,60,60,10724,DFBnB
"(1, 2, 3, 8, 6, 13, 12, 9, 4, 10, 11, 5, 15, 14, 7)",15,50,50,35460,DFBnB
"(1, 2, 3, 8, 6, 13, 12, 9, 4, 10, 11, 5, 15, 14, 7)",15,40,40,58640,DFBnB
"(1, 2, 3, 8, 6, 13, 12, 9, 4, 10, 11, 5, 15, 14, 7)",15,30,30,36669,DFBnB
